Date,Description,Sub Category,Category,Amount,Transaction Type,Account 
2018-04-01,Pabc Multi Space,Parking,Transportation,6.5,debit,Chase CC
2018-04-01,Pabc Multi Space,Parking,Transportation,3.5,debit,Chase CC
2018-04-01,Payment Thank You - Web,Payment,Credit,-961.3,credit,Southwest CC
2018-04-01,Thank You Web,Payment,Credit,-464.4,credit,Chase CC
2018-04-01,Samos Greek Island Grill,Restaurants,Food and dining,17.2,debit,Chase CC
2018-04-02,Bge,Gas,Utilities,179.4,debit,Ally Checking
2018-04-02,SHELL OIL 57525762704,Gas,Utilities,31.1,debit,Southwest CC
2018-04-02,Pine Ridge Driving,Golf,Entertainment,9,debit,Chase CC
2018-04-02,Pine Ridge Golf Concessio,Golf,Entertainment,38,debit,Chase CC
2018-04-03,Apex Clearing Ach,Apex Clearing (Ally),Banking and Finance,150,debit,Ally Checking
2018-04-03,TRADER JOE'S #655  QPS,Groceries,Food and dining,65.8,debit,Southwest CC
2018-04-04,ROYAL FARMS  111  Q79,Convenience Store,Food and dining,28.8,debit,Southwest CC
2018-04-04,HARRISTEETER #392,Groceries,Food and dining,57.6,debit,Southwest CC
2018-04-04,Frontpoint Security,Home Security,Housing,47.7,debit,Ally Checking
2018-04-04,Pmi Gar 1530 Thames Street,Parking,Transportation,15,debit,Chase CC
2018-04-04,Chipotle,Restaurants,Food and dining,9.1,debit,Chase CC
2018-04-04,TARGET        00028456,Target,Household,7.3,debit,Southwest CC
2018-04-05,Amazon,Amazon,Household,23.7,debit,Chase CC
2018-04-05,Daily Grind Inc,Coffee shops & Bakeries,Food and dining,7.4,debit,Chase CC
2018-04-05,Pabc Multi Space,Parking,Transportation,8,debit,Chase CC
2018-04-05,Lucias,Restaurants,Food and dining,8.4,debit,Chase CC
2018-04-06,Amazon,Amazon,Household,10.6,debit,Chase CC
2018-04-06,E-ZPass,Refund,Credit,-34.4,credit,Chase CC
2018-04-08,Lucias,Restaurants,Food and dining,8.9,debit,Chase CC
2018-04-08,The Horse You Came In On,Restaurants,Food and dining,16.4,debit,Chase CC
2018-04-09,AMAZON MKTPLACE PMTS,Amazon,Household,81.7,debit,Southwest CC
2018-04-09,Apex Clearing Ach,Apex Clearing (Ally),Banking and Finance,150,debit,Ally Checking
2018-04-11,BP#8760753VALLEY AMOCO,Gas,Utilities,38,debit,Southwest CC
2018-04-11,iTunes,iTunes,Entertainment,50,debit,Chase CC
2018-04-11,Amtrak,Railroad service,Transportation,3,debit,Chase CC
2018-04-11,Spring Street Wine,Wine and spirits ,Food and dining,16.3,debit,Chase CC
2018-04-12,Java Moon,Coffee shops & Bakeries,Food and dining,9.1,debit,Chase CC
2018-04-12,HARRISTEETER #392,Groceries,Food and dining,56.9,debit,Southwest CC
2018-04-12,SAFEWAY #1481,Groceries,Food and dining,4.4,debit,Southwest CC
2018-04-12,BED BATH &amp; BEYOND #174,Return,Credit,-25.4,Credit,Southwest CC
2018-04-13,Pitango Pastry LLC,Coffee shops & Bakeries,Food and dining,6.1,debit,Chase CC
2018-04-13,Zaros Bread Basket,Coffee shops & Bakeries,Food and dining,7.1,debit,Chase CC
2018-04-13,ROYAL FARMS  062  Q79,Convenience Store,Food and dining,26.1,debit,Southwest CC
2018-04-13,BARK! PIKESVILLE,Pet supply,Household,4.7,debit,Southwest CC
2018-04-13,Target,Target,Household,20.2,debit,Chase CC
2018-04-13,Canton Crossing Wine,Wine and spirits ,Food and dining,18.3,debit,Chase CC
2018-04-15,SAFEWAY #1481,Groceries,Food and dining,3.7,debit,Southwest CC
2018-04-15,Pech Ngorn,NA,Miscellaneous,45.8,debit,Chase CC
2018-04-15,CHIPOTLE 1523,Restaurants,Food and dining,15.2,debit,Southwest CC
2018-04-15,Royal Farms,Restaurants,Food and dining,6.8,debit,Chase CC
2018-04-16,Apex Clearing Ach,Apex Clearing (Ally),Banking and Finance,150,debit,Ally Checking
2018-04-16,National Golf Club,Golf,Entertainment,384,debit,Chase CC
2018-04-17,National Golf Club,Golf,Entertainment,17,debit,Chase CC
2018-04-17,SAFEWAY #1481,Groceries,Food and dining,24.4,debit,Southwest CC
2018-04-18,SHELL OIL 57525762704,Gas,Utilities,37.3,debit,Southwest CC
2018-04-18,Balto City,Government fee,Housing,57.2,debit,Ally Checking
2018-04-18,Waterfront Hotel,Hotel,Entertainment,50.9,debit,Chase CC
2018-04-19,Honey Grow,Restaurants,Food and dining,13.5,debit,Chase CC
2018-04-19,Lucias,Restaurants,Food and dining,16.9,debit,Chase CC
2018-04-20,Vikki Fells Point,Restaurants,Food and dining,14.1,debit,Chase CC
2018-04-22,HARRISTEETER #392,Groceries,Food and dining,100.2,debit,Southwest CC
2018-04-22,SAMOS GREEK ISLAND GRILL,Restaurants,Food and dining,16.2,debit,Southwest CC
2018-04-22,SQ *BMORE LICKS,Restaurants,Food and dining,11.5,debit,Southwest CC
2018-04-22,VITAMINSHOPPE655,Vitamin,Health care,20,debit,Southwest CC
2018-04-23,Apex Clearing Ach,Apex Clearing (Ally),Banking and Finance,150,debit,Ally Checking
